Survived,Name,Sex,Age,Marital Status
1,Patrick Breen,M,51,M
1,Margaret Breen,F,40,M
1,John Breen,M,14,S
1,Patrick Breen Jr.,M,9,S
1,Simon Preston Breen,M,8,S
1,James Frederick Breen,M,5,S
1,Peter Breen,M,3,S
1,Isabella Breen,F,1,S
1,James Frazier Reed,M,45,M
1,Margaret Keyes Reed,F,32,M
1,Virginia BackenstoeReed,F,13,S
1,Martha Jane Reed,F,8,S
1,James F. Reed Jr.,M,5,S
1,Thomas Keyes Reed,M,3,S
0,Sarah Keyes Reed,F,70,W
0,George Donner,M,62,M
0,Tamzene Donner,F,45,M
1,Elitha Donner,F,14,S
1,Frances Donner,F,6,S
1,Georgia Donner,F,4,S
1,Eliza Donner,F,3,S
1,Leanna Charity Donner,F,11,S
0,Jacob Donner,M,56,M
0,Elizabeth Donner,F,38,M
1,Solomon Hook,M,14,S
1,George Donner(the younger),M,10,S
1,Mary Donner,F,7,S
0,Isaac Donner,M,5,S
0,Samuel Donner,M,4,S
0,Lewis Donner,M,3,S
1,William Eddy,M,28,M
0,Eleanor Eddy,F,25,M
0,James Eddy,M,3,S
0,Margaret Eddy,F,1,S
0,Franklin Graves,M,57,M
1,Elizabeth Graves,F,46,M
1,Mary Ann Graves,F,20,S
1,William Graves,M,17,S
1,Eleanor Graves,F,14,S
1,Lovina Graves,F,12,S
1,Jonathan Graves,M,7,S
0,Elizabeth Graves(the younger),F,1,S
0,Franklin Graves Jr.,M,5,S
1,Sarah Graves Fosdick,F,21,M
0,Jay Fosdick,M,23,M
0,Levinah Murphy,F,36,W
1,Sarah Ann Murphy,F,19,M
1,Simon Peter Murphy,M,8,S
0,John Landrum Murphy,M,16,S
0,Lemuel Murphy,M,13,S
1,William Murphy,M,10,S
1,Sarah Ann Foster,F,20,M
1,William Foster,M,31,M
1,Jeremiah Foster,M,2,S
0,William Pike,M,32,M
1,Harriet Murphy Pike,F,18,M
1,Naomi Pike,F,2,S
0,Catherine Pike,F,1,S
1,William McCutchen,M,30,M
0,Amanda McCutchen,F,23,M
1,Harriet McCuthen,F,1,S
0,Jacob Wolfinger,M,,M
1,Doris Wolfinger,M,20,M
1,Lewis Keseberg,M,32,M
1,Philippine Keseberg,F,23,M
0,Ada Keseberg,F,3,S
0,Lewis Keseberg Jr.,M,5.5,S
0,Antonio,M,23,S
0,Augustus Spitzer,M,30,S
0,Baylis Williams,M,25,S
0,Charles Burger,M,30,S
0,Charles Stanton,M,35,S
0,Hardcoop,M,60,S
1,Hiram Miller,M,29,S
0,James Smith,M,25,S
1,Jean Baptiste Trudeau,M,16,S
0,John Denton,M,28,S
0,John Snyder,M,25,S
0,Joseph Reinhardt,M,30,S
0,Luke Halloran,M,25,S
0,Luis,M,,S
0,Salvador,M,,S
0,Milt Elliot,M,28,S
1,Noah James,M,16,S
0,Patrick Dolan,M,35,S
1,Walter Herron,M,27,S
0,Samuel Shoemaker,M,25,S
1,Eliza William,F,31,S
0,William Hook,M,12,S
